file,model,dataset,accuracy,precision_macro,recall_macro,f1_macro,auc_macro,precision_class_1,recall_class_1,f1_class_1,auc_class_1,precision_class_2,recall_class_2,f1_class_2,auc_class_2,precision_class_3,recall_class_3,f1_class_3,auc_class_3,precision_class_4,recall_class_4,f1_class_4,auc_class_4
clusters-4-v1.csv,SVC_rbf,test,0.9606481481481481,0.9614655450507457,0.9609440606799404,0.9608383932188849,0.9982653745090224,0.9809523809523809,0.9626168224299065,0.9716981132075472,0.9987634795111431,0.956140350877193,0.9478260869565217,0.9519650655021834,0.9970648745028118,0.9285714285714286,0.9904761904761905,0.9585253456221198,0.9982525120139799,0.9801980198019802,0.9428571428571428,0.9611650485436893,0.9989806320081549
clusters-4-v1.csv,RF_leaf1_depth2,train,0.935515873015873,0.9370999660679311,0.9350287941263462,0.935230277809805,0.991151280458589,0.9201520912547528,0.9565217391304348,0.937984496124031,0.9949873046619375,0.9773755656108597,0.8816326530612245,0.927038626609442,0.9864498355043196,0.9182879377431906,0.9254901960784314,0.921875,0.9868187381194178,0.9325842696629213,0.9764705882352941,0.9540229885057471,0.996349243548681
clusters-4-v1.csv,RF_leaf1_depth2,test,0.9074074074074074,0.9137633135683835,0.9101159033300439,0.9074356451203223,0.9957339364394205,0.8306451612903226,0.9626168224299065,0.8917748917748918,0.9957009345794393,0.9782608695652174,0.782608695652174,0.8695652173913043,0.9928267727335071,0.9504950495049505,0.9142857142857143,0.9320388349514563,0.9963594000291248,0.8956521739130435,0.9809523809523809,0.9363636363636364,0.9980486384156109
clusters-4-v1.csv,RF_leaf1_depth3,train,0.9494047619047619,0.9497504663377846,0.9492512419987758,0.9494039911421649,0.9945897028956947,0.9598393574297188,0.9446640316205533,0.952191235059761,0.9973405229955763,0.9541666666666667,0.9346938775510204,0.9443298969072165,0.9935485596597747,0.9201520912547528,0.9490196078431372,0.9343629343629344,0.9904825143868969,0.96484375,0.9686274509803922,0.9667318982387475,0.9969872145405307
clusters-4-v1.csv,RF_leaf1_depth3,test,0.9537037037037037,0.9537298926049677,0.9542597859948531,0.9538373682116963,0.9976540326377099,0.9532710280373832,0.9532710280373832,0.9532710280373832,0.9976994967649173,0.963963963963964,0.9304347826086956,0.9469026548672567,0.9963242353586614,0.9357798165137615,0.9714285714285714,0.9532710280373832,0.9979175768166594,0.9619047619047619,0.9619047619047619,0.9619047619047619,0.9986748216106015
clusters-4-v1.csv,RF_leaf1_depth4,train,0.9553571428571429,0.955587090209759,0.9551968613532369,0.9553226783806869,0.9967915263837583,0.968,0.9565217391304348,0.9622266401590457,0.9981572127843363,0.9583333333333334,0.9387755102040817,0.9484536082474226,0.9961697916388048,0.9310344827586207,0.9529411764705882,0.9418604651162791,0.9945993802567508,0.9649805447470817,0.9725490196078431,0.96875,0.9982397208551415
clusters-4-v1.csv,RF_leaf1_depth4,test,0.9606481481481481,0.96057459769768,0.9611511000174146,0.9607350395605725,0.9977628439063415,0.9626168224299065,0.9626168224299065,0.9626168224299065,0.9983033788641266,0.972972972972973,0.9391304347826087,0.9557522123893806,0.9952818543409684,0.9444444444444444,0.9714285714285714,0.9577464788732394,0.9983690112130479,0.9622641509433962,0.9714285714285714,0.966824644549763,0.999097131207223
clusters-4-v1.csv,RF_leaf1_depth5,train,0.9593253968253969,0.9594261530090408,0.9592139622647478,0.9592957547554937,0.9983505864473544,0.9682539682539683,0.9644268774703557,0.9663366336633663,0.9990105489097715,0.9586776859504132,0.9469387755102041,0.9527720739219713,0.9982560783159922,0.9382239382239382,0.9529411764705882,0.9455252918287937,0.9970366898419394,0.9725490196078431,0.9725490196078431,0.9725490196078431,0.9990990287217145
clusters-4-v1.csv,RF_leaf1_depth5,test,0.9652777777777778,0.9653184102634852,0.965409918538728,0.9653332127792023,0.9981761136594102,0.963302752293578,0.9813084112149533,0.9722222222222222,0.9985334291876348,0.9649122807017544,0.9565217391304348,0.9606986899563319,0.996763132629269,0.9619047619047619,0.9619047619047619,0.9619047619047619,0.9982525120139799,0.9711538461538461,0.9619047619047619,0.9665071770334929,0.9991553808067569
clusters-4-v1.csv,RF_leaf2_depth2,train,0.935515873015873,0.9370999660679311,0.9350287941263462,0.935230277809805,0.991151280458589,0.9201520912547528,0.9565217391304348,0.937984496124031,0.9949873046619375,0.9773755656108597,0.8816326530612245,0.927038626609442,0.9864498355043196,0.9182879377431906,0.9254901960784314,0.921875,0.9868187381194178,0.9325842696629213,0.9764705882352941,0.9540229885057471,0.996349243548681
